,Time,House,School,Health_center,Church,Water_pump,Class_name
102,20130105:0607,0.298,0.46,0.46,0.5,0.71,1
103,20130105:0707,0.271,0.92,0.92,0.1,0.86,1
104,20130105:0807,0.227,0.92,0.92,0.1,1.0,1
105,20130105:0907,0.233,1.0,1.0,0.1,1.0,1
106,20130105:1007,0.268,1.0,1.0,0.1,1.0,1
107,20130105:1107,0.288,1.0,1.0,1.0,0.86,1
108,20130105:1207,0.374,1.0,1.0,1.0,0.71,1
109,20130105:1307,0.281,1.0,1.0,1.0,0.71,1
110,20130105:1407,0.226,1.0,1.0,0.5,0.86,1
111,20130105:1507,0.215,1.0,1.0,1.0,0.86,1
112,20130105:1607,0.221,0.85,0.85,1.0,1.0,1
113,20130105:1707,0.356,0.31,0.31,0.5,1.0,1
114,20130105:1807,0.667,0.15,0.15,1.0,0.71,1
115,20130105:1907,0.543,0.15,0.15,1.0,0.57,1
116,20130105:2007,0.366,0.15,0.15,0.1,0.29,1
117,20130105:2107,0.26,0.15,0.15,0.1,0.14,1
118,20130105:2207,0.162,0.15,0.15,0.1,0.14,1
119,20130105:2307,0.11,0.15,0.15,0.1,0.14,1
120,20130106:0007,0.059,0.15,0.15,0.1,0.14,1
121,20130106:0107,0.051,0.15,0.15,0.1,0.14,1
122,20130106:0207,0.051,0.15,0.15,0.1,0.14,1
123,20130106:0307,0.051,0.15,0.15,0.1,0.29,1
124,20130106:0407,0.177,0.15,0.15,0.85,0.43,1
125,20130106:0507,0.271,0.15,0.15,0.85,0.57,1
126,20130106:0607,0.298,0.46,0.46,0.5,0.71,1
127,20130106:0707,0.271,0.92,0.92,0.1,0.86,1
128,20130106:0807,0.227,0.92,0.92,0.1,1.0,1
129,20130106:0907,0.233,1.0,1.0,0.1,1.0,1
130,20130106:1007,0.268,1.0,1.0,0.1,1.0,1
131,20130106:1107,0.288,1.0,1.0,1.0,0.86,1
132,20130106:1207,0.374,1.0,1.0,1.0,0.71,1
133,20130106:1307,0.281,1.0,1.0,1.0,0.71,1
134,20130106:1407,0.226,1.0,1.0,0.5,0.86,1
135,20130106:1507,0.215,1.0,1.0,1.0,0.86,1
136,20130106:1607,0.221,0.85,0.85,1.0,1.0,1
137,20130106:1707,0.356,0.31,0.31,0.5,1.0,1
138,20130106:1807,0.667,0.15,0.15,1.0,0.71,1
139,20130106:1907,0.543,0.15,0.15,1.0,0.57,1
140,20130106:2007,0.366,0.15,0.15,0.1,0.29,1
141,20130106:2107,0.26,0.15,0.15,0.1,0.14,1
142,20130106:2207,0.162,0.15,0.15,0.1,0.14,1
143,20130106:2307,0.11,0.15,0.15,0.1,0.14,1
144,20130107:0007,0.059,0.15,0.15,0.1,0.14,1
145,20130107:0107,0.051,0.15,0.15,0.1,0.14,1
146,20130107:0207,0.051,0.15,0.15,0.1,0.14,1
147,20130107:0307,0.051,0.15,0.15,0.1,0.29,1
148,20130107:0407,0.177,0.15,0.15,0.85,0.43,1
149,20130107:0507,0.0,0.15,0.15,0.85,0.57,0
150,20130107:0607,0.298,0.46,0.46,0.5,0.71,1
151,20130107:0707,0.271,0.92,0.92,0.1,0.86,1
152,20130107:0807,0.227,0.92,0.92,0.1,1.0,1
153,20130107:0907,0.233,1.0,1.0,0.1,1.0,1
154,20130107:1007,0.268,1.0,1.0,0.1,1.0,1
155,20130107:1107,0.288,1.0,1.0,1.0,0.86,1
156,20130107:1207,0.374,1.0,1.0,1.0,0.71,1
157,20130107:1307,0.281,1.0,1.0,1.0,0.71,1
158,20130107:1407,0.226,1.0,1.0,0.5,0.86,1
159,20130107:1507,0.215,1.0,1.0,1.0,0.86,1
