,Time,House,School,Health_center,Church,Water_pump,Class_name
1752,20130315:0007,0.066,0.0,0.15,0.1,0.14,0
1753,20130315:0107,0.058,0.15,0.15,0.1,0.14,1
1754,20130315:0207,0.0,0.15,0.15,0.1,0.14,0
1755,20130315:0307,0.058,0.15,0.15,0.1,0.29,1
1756,20130315:0407,0.199,0.15,0.15,0.85,0.43,1
1757,20130315:0507,0.305,0.15,0.15,0.85,0.57,1
1758,20130315:0607,0.335,0.46,0.46,0.5,0.71,1
1759,20130315:0707,0.305,0.92,0.92,0.1,0.86,1
1760,20130315:0807,0.256,0.92,0.92,0.1,1.0,1
1761,20130315:0907,0.262,1.0,1.0,0.1,1.0,1
1762,20130315:1007,0.302,1.0,1.0,0.1,1.0,1
1763,20130315:1107,0.325,1.0,1.0,1.0,0.86,1
1764,20130315:1207,0.421,1.0,1.0,1.0,0.71,1
1765,20130315:1307,0.316,1.0,1.0,1.0,0.71,1
1766,20130315:1407,0.255,1.0,1.0,0.5,0.86,1
1767,20130315:1507,0.242,1.0,1.0,1.0,0.86,1
1768,20130315:1607,0.249,0.85,0.85,1.0,1.0,1
1769,20130315:1707,0.401,0.31,0.31,0.5,1.0,1
1770,20130315:1807,0.75,0.15,0.15,1.0,0.71,1
1771,20130315:1907,0.611,0.15,0.15,1.0,0.57,1
1772,20130315:2007,0.412,0.15,0.15,0.1,0.29,1
1773,20130315:2107,0.292,0.15,0.15,0.1,0.14,1
1774,20130315:2207,0.183,0.15,0.15,0.1,0.14,1
1775,20130315:2307,0.125,0.15,0.15,0.1,0.14,1
1776,20130316:0007,0.066,0.15,0.0,0.1,0.14,0
1777,20130316:0107,0.058,0.15,0.15,0.1,0.14,1
1778,20130316:0207,0.058,0.15,0.15,0.1,0.14,1
1779,20130316:0307,0.058,0.15,0.15,0.1,0.29,1
1780,20130316:0407,0.199,0.15,0.15,0.85,0.43,1
1781,20130316:0507,0.305,0.15,0.15,0.85,0.57,1
1782,20130316:0607,0.335,0.46,0.46,0.5,0.71,1
1783,20130316:0707,0.305,0.92,0.92,0.1,0.86,1
1784,20130316:0807,0.256,0.92,0.92,0.1,1.0,1
1785,20130316:0907,0.262,1.0,1.0,0.1,1.0,1
1786,20130316:1007,0.302,1.0,1.0,0.1,1.0,1
1787,20130316:1107,0.325,1.0,1.0,1.0,0.86,1
1788,20130316:1207,0.421,1.0,0.0,1.0,0.71,0
1789,20130316:1307,0.316,1.0,1.0,1.0,0.71,1
1790,20130316:1407,0.255,1.0,1.0,0.5,0.86,1
1791,20130316:1507,0.242,1.0,1.0,1.0,0.86,1
1792,20130316:1607,0.249,0.85,0.85,1.0,1.0,1
1793,20130316:1707,0.401,0.31,0.31,0.5,1.0,1
1794,20130316:1807,0.75,0.15,0.15,1.0,0.71,1
1795,20130316:1907,0.611,0.15,0.15,1.0,0.57,1
1796,20130316:2007,0.412,0.15,0.15,0.1,0.29,1
1797,20130316:2107,0.292,0.15,0.15,0.1,0.14,1
1798,20130316:2207,0.183,0.15,0.15,0.1,0.14,1
1799,20130316:2307,0.125,0.15,0.15,0.1,0.14,1
1800,20130317:0007,0.066,0.0,0.15,0.1,0.14,0
1801,20130317:0107,0.058,0.15,0.15,0.1,0.14,1
1802,20130317:0207,0.058,0.15,0.15,0.1,0.14,1
1803,20130317:0307,0.058,0.15,0.15,0.1,0.29,1
1804,20130317:0407,0.199,0.15,0.15,0.85,0.43,1
1805,20130317:0507,0.305,0.15,0.15,0.85,0.57,1
1806,20130317:0607,0.335,0.46,0.46,0.5,0.71,1
1807,20130317:0707,0.305,0.92,0.92,0.1,0.86,1
1808,20130317:0807,0.256,0.92,0.92,0.1,1.0,1
1809,20130317:0907,0.262,1.0,1.0,0.1,1.0,1
1810,20130317:1007,0.302,1.0,1.0,0.1,1.0,1
1811,20130317:1107,0.325,1.0,1.0,1.0,0.86,1
1812,20130317:1207,0.421,1.0,1.0,1.0,0.71,1
1813,20130317:1307,0.316,1.0,1.0,1.0,0.71,1
1814,20130317:1407,0.255,1.0,1.0,0.5,0.86,1
1815,20130317:1507,0.242,1.0,1.0,1.0,0.86,1
1816,20130317:1607,0.249,0.85,0.85,1.0,1.0,1
1817,20130317:1707,0.401,0.31,0.31,0.5,1.0,1
1818,20130317:1807,0.75,0.15,0.15,1.0,0.71,1
1819,20130317:1907,0.611,0.15,0.15,1.0,0.57,1
1820,20130317:2007,0.412,0.15,0.15,0.1,0.29,1
1821,20130317:2107,0.292,0.15,0.0,0.1,0.14,0
1822,20130317:2207,0.183,0.15,0.15,0.1,0.14,1
1823,20130317:2307,0.125,0.15,0.15,0.1,0.14,1
1824,20130318:0007,0.066,0.15,0.15,0.1,0.14,1
1825,20130318:0107,0.058,0.15,0.15,0.1,0.14,1
1826,20130318:0207,0.058,0.15,0.15,0.1,0.14,1
1827,20130318:0307,0.058,0.15,0.15,0.1,0.29,1
1828,20130318:0407,0.199,0.15,0.15,0.85,0.43,1
1829,20130318:0507,0.305,0.15,0.15,0.85,0.57,1
1830,20130318:0607,0.335,0.46,0.46,0.5,0.71,1
1831,20130318:0707,0.305,0.92,0.92,0.1,0.86,1
1832,20130318:0807,0.256,0.92,0.92,0.1,1.0,1
1833,20130318:0907,0.262,1.0,1.0,0.1,1.0,1
1834,20130318:1007,0.302,1.0,1.0,0.1,1.0,1
1835,20130318:1107,0.325,1.0,1.0,1.0,0.86,1
1836,20130318:1207,0.421,1.0,1.0,1.0,0.71,1
1837,20130318:1307,0.316,1.0,1.0,1.0,0.71,1
1838,20130318:1407,0.255,1.0,1.0,0.5,0.86,1
1839,20130318:1507,0.242,1.0,1.0,1.0,0.86,1
1840,20130318:1607,0.249,0.85,0.85,1.0,1.0,1
1841,20130318:1707,0.401,0.31,0.31,0.5,1.0,1
1842,20130318:1807,0.75,0.15,0.15,1.0,0.71,1
1843,20130318:1907,0.611,0.15,0.15,1.0,0.57,1
1844,20130318:2007,0.412,0.15,0.15,0.1,0.29,1
1845,20130318:2107,0.292,0.15,0.15,0.1,0.14,1
1846,20130318:2207,0.183,0.15,0.15,0.1,0.14,1
1847,20130318:2307,0.125,0.15,0.15,0.1,0.14,1
1848,20130319:0007,0.066,0.15,0.15,0.1,0.14,1
1849,20130319:0107,0.058,0.15,0.15,0.1,0.14,1
1850,20130319:0207,0.058,0.15,0.15,0.1,0.14,1
1851,20130319:0307,0.058,0.15,0.15,0.1,0.29,1
1852,20130319:0407,0.199,0.15,0.15,0.85,0.43,1
1853,20130319:0507,0.305,0.15,0.15,0.85,0.57,1
1854,20130319:0607,0.335,0.46,0.46,0.5,0.71,1
1855,20130319:0707,0.305,0.92,0.92,0.0,0.86,0
1856,20130319:0807,0.256,0.92,0.92,0.1,1.0,1
1857,20130319:0907,0.262,1.0,1.0,0.1,1.0,1
1858,20130319:1007,0.302,1.0,1.0,0.1,0.0,0
1859,20130319:1107,0.325,1.0,1.0,1.0,0.86,1
1860,20130319:1207,0.421,1.0,1.0,1.0,0.71,1
1861,20130319:1307,0.316,1.0,1.0,1.0,0.71,1
1862,20130319:1407,0.255,1.0,1.0,0.5,0.86,1
1863,20130319:1507,0.242,1.0,1.0,1.0,0.86,1
1864,20130319:1607,0.249,0.85,0.0,1.0,1.0,0
1865,20130319:1707,0.401,0.31,0.31,0.5,1.0,1
1866,20130319:1807,0.75,0.15,0.15,1.0,0.71,1
1867,20130319:1907,0.611,0.15,0.15,1.0,0.57,1
1868,20130319:2007,0.412,0.15,0.15,0.1,0.29,1
1869,20130319:2107,0.292,0.15,0.15,0.1,0.14,1
1870,20130319:2207,0.183,0.15,0.15,0.1,0.14,1
1871,20130319:2307,0.125,0.15,0.15,0.1,0.14,1
1872,20130320:0007,0.066,0.15,0.15,0.1,0.0,0
1873,20130320:0107,0.058,0.15,0.15,0.1,0.14,1
1874,20130320:0207,0.058,0.15,0.15,0.1,0.14,1
1875,20130320:0307,0.058,0.15,0.15,0.1,0.0,0
1876,20130320:0407,0.199,0.15,0.15,0.85,0.43,1
1877,20130320:0507,0.305,0.15,0.15,0.85,0.57,1
1878,20130320:0607,0.335,0.46,0.46,0.5,0.71,1
1879,20130320:0707,0.305,0.92,0.92,0.1,0.86,1
1880,20130320:0807,0.256,0.92,0.92,0.1,1.0,1
1881,20130320:0907,0.262,1.0,1.0,0.1,1.0,1
1882,20130320:1007,0.302,1.0,1.0,0.1,1.0,1
1883,20130320:1107,0.325,1.0,1.0,1.0,0.86,1
1884,20130320:1207,0.421,1.0,1.0,1.0,0.71,1
1885,20130320:1307,0.316,1.0,1.0,1.0,0.71,1
1886,20130320:1407,0.255,1.0,1.0,0.5,0.86,1
1887,20130320:1507,0.242,1.0,1.0,1.0,0.86,1
1888,20130320:1607,0.249,0.85,0.85,1.0,1.0,1
1889,20130320:1707,0.401,0.31,0.31,0.5,1.0,1
1890,20130320:1807,0.75,0.15,0.15,1.0,0.71,1
1891,20130320:1907,0.611,0.15,0.15,1.0,0.57,1
1892,20130320:2007,0.412,0.15,0.15,0.1,0.29,1
1893,20130320:2107,0.292,0.15,0.15,0.1,0.14,1
1894,20130320:2207,0.183,0.15,0.15,0.1,0.14,1
1895,20130320:2307,0.125,0.15,0.15,0.1,0.14,1
1896,20130321:0007,0.066,0.15,0.15,0.1,0.14,1
1897,20130321:0107,0.058,0.15,0.15,0.1,0.14,1
1898,20130321:0207,0.058,0.15,0.15,0.1,0.14,1
1899,20130321:0307,0.058,0.15,0.15,0.1,0.29,1
1900,20130321:0407,0.199,0.15,0.15,0.85,0.43,1
1901,20130321:0507,0.305,0.15,0.15,0.85,0.57,1
1902,20130321:0607,0.335,0.46,0.46,0.5,0.71,1
1903,20130321:0707,0.305,0.92,0.92,0.1,0.86,1
1904,20130321:0807,0.256,0.92,0.92,0.1,1.0,1
1905,20130321:0907,0.262,1.0,1.0,0.1,1.0,1
1906,20130321:1007,0.302,1.0,1.0,0.1,1.0,1
1907,20130321:1107,0.325,1.0,1.0,1.0,0.86,1
1908,20130321:1207,0.421,1.0,1.0,1.0,0.71,1
1909,20130321:1307,0.316,1.0,1.0,1.0,0.71,1
1910,20130321:1407,0.255,1.0,1.0,0.5,0.86,1
1911,20130321:1507,0.0,1.0,1.0,1.0,0.86,0
1912,20130321:1607,0.249,0.85,0.85,1.0,1.0,1
1913,20130321:1707,0.401,0.31,0.31,0.5,1.0,1
1914,20130321:1807,0.75,0.15,0.15,1.0,0.71,1
1915,20130321:1907,0.611,0.15,0.15,1.0,0.57,1
1916,20130321:2007,0.412,0.15,0.15,0.1,0.29,1
1917,20130321:2107,0.292,0.15,0.15,0.1,0.14,1
1918,20130321:2207,0.183,0.15,0.15,0.1,0.14,1
1919,20130321:2307,0.125,0.15,0.15,0.1,0.14,1
1920,20130322:0007,0.066,0.15,0.15,0.1,0.14,1
1921,20130322:0107,0.058,0.15,0.15,0.1,0.14,1
1922,20130322:0207,0.058,0.15,0.15,0.1,0.14,1
1923,20130322:0307,0.058,0.15,0.15,0.1,0.29,1
1924,20130322:0407,0.199,0.15,0.15,0.85,0.43,1
1925,20130322:0507,0.305,0.15,0.15,0.85,0.57,1
1926,20130322:0607,0.335,0.46,0.46,0.5,0.71,1
1927,20130322:0707,0.305,0.92,0.92,0.1,0.86,1
1928,20130322:0807,0.256,0.92,0.92,0.1,1.0,1
1929,20130322:0907,0.262,1.0,1.0,0.1,1.0,1
1930,20130322:1007,0.302,1.0,1.0,0.1,1.0,1
1931,20130322:1107,0.325,1.0,1.0,1.0,0.86,1
1932,20130322:1207,0.421,1.0,1.0,1.0,0.71,1
1933,20130322:1307,0.316,1.0,1.0,1.0,0.71,1
1934,20130322:1407,0.255,1.0,1.0,0.5,0.86,1
1935,20130322:1507,0.242,1.0,1.0,1.0,0.86,1
1936,20130322:1607,0.249,0.85,0.85,1.0,1.0,1
1937,20130322:1707,0.401,0.31,0.31,0.5,1.0,1
1938,20130322:1807,0.75,0.15,0.15,1.0,0.71,1
1939,20130322:1907,0.611,0.15,0.15,1.0,0.57,1
1940,20130322:2007,0.412,0.15,0.15,0.1,0.29,1
1941,20130322:2107,0.292,0.15,0.15,0.1,0.14,1
1942,20130322:2207,0.183,0.15,0.15,0.1,0.14,1
1943,20130322:2307,0.125,0.15,0.15,0.1,0.14,1
1944,20130323:0007,0.066,0.15,0.15,0.1,0.14,1
1945,20130323:0107,0.058,0.15,0.15,0.1,0.14,1
1946,20130323:0207,0.058,0.15,0.15,0.1,0.14,1
1947,20130323:0307,0.058,0.15,0.15,0.1,0.29,1
1948,20130323:0407,0.199,0.15,0.15,0.85,0.43,1
1949,20130323:0507,0.305,0.15,0.15,0.85,0.57,1
1950,20130323:0607,0.335,0.46,0.46,0.5,0.71,1
1951,20130323:0707,0.305,0.92,0.92,0.1,0.86,1
1952,20130323:0807,0.256,0.92,0.92,0.1,1.0,1
1953,20130323:0907,0.262,1.0,1.0,0.1,1.0,1
1954,20130323:1007,0.302,1.0,1.0,0.1,1.0,1
1955,20130323:1107,0.325,1.0,1.0,1.0,0.86,1
1956,20130323:1207,0.421,1.0,1.0,1.0,0.71,1
1957,20130323:1307,0.316,1.0,1.0,1.0,0.71,1
1958,20130323:1407,0.255,1.0,1.0,0.5,0.86,1
1959,20130323:1507,0.242,1.0,1.0,1.0,0.86,1
1960,20130323:1607,0.249,0.85,0.85,1.0,1.0,1
1961,20130323:1707,0.401,0.31,0.31,0.5,1.0,1
1962,20130323:1807,0.75,0.15,0.15,1.0,0.71,1
1963,20130323:1907,0.611,0.15,0.15,1.0,0.57,1
1964,20130323:2007,0.412,0.15,0.15,0.1,0.29,1
1965,20130323:2107,0.292,0.15,0.15,0.1,0.14,1
1966,20130323:2207,0.183,0.15,0.15,0.1,0.14,1
1967,20130323:2307,0.125,0.15,0.15,0.1,0.14,1
1968,20130324:0007,0.066,0.15,0.15,0.1,0.14,1
1969,20130324:0107,0.058,0.15,0.15,0.1,0.14,1
1970,20130324:0207,0.058,0.15,0.15,0.1,0.14,1
1971,20130324:0307,0.058,0.15,0.15,0.1,0.29,1
1972,20130324:0407,0.199,0.15,0.15,0.85,0.43,1
1973,20130324:0507,0.305,0.15,0.15,0.85,0.57,1
1974,20130324:0607,0.335,0.46,0.46,0.5,0.71,1
1975,20130324:0707,0.305,0.92,0.92,0.1,0.86,1
1976,20130324:0807,0.256,0.92,0.92,0.1,1.0,1
1977,20130324:0907,0.262,1.0,1.0,0.1,1.0,1
1978,20130324:1007,0.302,1.0,1.0,0.1,1.0,1
1979,20130324:1107,0.325,1.0,1.0,1.0,0.86,1
1980,20130324:1207,0.421,1.0,1.0,1.0,0.71,1
1981,20130324:1307,0.316,1.0,1.0,1.0,0.71,1
1982,20130324:1407,0.255,1.0,1.0,0.5,0.86,1
1983,20130324:1507,0.242,1.0,1.0,1.0,0.86,1
1984,20130324:1607,0.249,0.85,0.85,1.0,1.0,1
1985,20130324:1707,0.401,0.31,0.31,0.5,1.0,1
1986,20130324:1807,0.75,0.15,0.15,1.0,0.71,1
1987,20130324:1907,0.611,0.15,0.15,1.0,0.57,1
1988,20130324:2007,0.412,0.15,0.15,0.1,0.29,1
1989,20130324:2107,0.292,0.15,0.15,0.1,0.14,1
1990,20130324:2207,0.183,0.15,0.15,0.1,0.14,1
1991,20130324:2307,0.125,0.15,0.15,0.1,0.14,1
1992,20130325:0007,0.066,0.15,0.15,0.1,0.14,1
1993,20130325:0107,0.058,0.15,0.15,0.1,0.14,1
1994,20130325:0207,0.058,0.15,0.15,0.1,0.14,1
1995,20130325:0307,0.058,0.15,0.15,0.1,0.29,1
1996,20130325:0407,0.199,0.15,0.15,0.85,0.43,1
1997,20130325:0507,0.305,0.15,0.15,0.85,0.57,1
1998,20130325:0607,0.335,0.46,0.46,0.5,0.71,1
1999,20130325:0707,0.305,0.92,0.92,0.1,0.86,1
2000,20130325:0807,0.256,0.92,0.92,0.1,1.0,1
2001,20130325:0907,0.262,0.0,1.0,0.1,1.0,0
2002,20130325:1007,0.302,1.0,1.0,0.1,1.0,1
2003,20130325:1107,0.325,1.0,1.0,1.0,0.86,1
2004,20130325:1207,0.421,1.0,1.0,1.0,0.71,1
2005,20130325:1307,0.316,1.0,1.0,1.0,0.71,1
2006,20130325:1407,0.255,1.0,1.0,0.5,0.86,1
2007,20130325:1507,0.242,1.0,1.0,1.0,0.86,1
2008,20130325:1607,0.249,0.85,0.85,1.0,1.0,1
2009,20130325:1707,0.401,0.31,0.31,0.5,1.0,1
2010,20130325:1807,0.75,0.15,0.15,1.0,0.71,1
2011,20130325:1907,0.611,0.15,0.15,1.0,0.57,1
2012,20130325:2007,0.412,0.15,0.15,0.1,0.29,1
2013,20130325:2107,0.292,0.15,0.15,0.1,0.14,1
2014,20130325:2207,0.183,0.15,0.15,0.1,0.14,1
2015,20130325:2307,0.125,0.15,0.15,0.1,0.14,1
2016,20130326:0007,0.066,0.15,0.15,0.1,0.14,1
2017,20130326:0107,0.058,0.15,0.15,0.1,0.14,1
2018,20130326:0207,0.058,0.15,0.15,0.1,0.14,1
2019,20130326:0307,0.058,0.15,0.15,0.1,0.29,1
2020,20130326:0407,0.199,0.15,0.15,0.85,0.43,1
2021,20130326:0507,0.305,0.15,0.15,0.85,0.57,1
2022,20130326:0607,0.335,0.46,0.46,0.5,0.71,1
2023,20130326:0707,0.305,0.92,0.92,0.1,0.86,1
2024,20130326:0807,0.256,0.92,0.92,0.1,1.0,1
2025,20130326:0907,0.262,1.0,1.0,0.1,1.0,1
2026,20130326:1007,0.302,1.0,1.0,0.1,1.0,1
2027,20130326:1107,0.325,1.0,1.0,1.0,0.86,1
2028,20130326:1207,0.421,1.0,1.0,1.0,0.71,1
2029,20130326:1307,0.316,1.0,1.0,1.0,0.71,1
2030,20130326:1407,0.255,1.0,1.0,0.5,0.86,1
2031,20130326:1507,0.242,1.0,1.0,1.0,0.86,1
2032,20130326:1607,0.249,0.85,0.85,1.0,1.0,1
2033,20130326:1707,0.401,0.31,0.31,0.5,1.0,1
2034,20130326:1807,0.75,0.15,0.15,1.0,0.71,1
2035,20130326:1907,0.611,0.15,0.15,1.0,0.57,1
2036,20130326:2007,0.412,0.15,0.15,0.1,0.29,1
2037,20130326:2107,0.292,0.15,0.15,0.1,0.14,1
2038,20130326:2207,0.183,0.15,0.15,0.1,0.14,1
2039,20130326:2307,0.125,0.15,0.15,0.1,0.14,1
2040,20130327:0007,0.0,0.15,0.15,0.1,0.14,0
2041,20130327:0107,0.058,0.15,0.15,0.1,0.14,1
2042,20130327:0207,0.058,0.15,0.15,0.1,0.14,1
2043,20130327:0307,0.058,0.15,0.15,0.1,0.29,1
2044,20130327:0407,0.199,0.15,0.15,0.85,0.43,1
2045,20130327:0507,0.305,0.15,0.15,0.85,0.57,1
2046,20130327:0607,0.335,0.46,0.46,0.5,0.71,1
2047,20130327:0707,0.305,0.92,0.92,0.1,0.86,1
2048,20130327:0807,0.256,0.92,0.92,0.1,1.0,1
2049,20130327:0907,0.262,1.0,1.0,0.1,1.0,1
2050,20130327:1007,0.302,1.0,1.0,0.1,1.0,1
2051,20130327:1107,0.325,1.0,0.0,1.0,0.86,0
2052,20130327:1207,0.421,1.0,1.0,1.0,0.71,1
2053,20130327:1307,0.316,1.0,1.0,1.0,0.71,1
2054,20130327:1407,0.255,1.0,1.0,0.5,0.86,1
2055,20130327:1507,0.242,1.0,1.0,1.0,0.86,1
2056,20130327:1607,0.249,0.85,0.85,1.0,1.0,1
2057,20130327:1707,0.401,0.31,0.31,0.5,1.0,1
2058,20130327:1807,0.75,0.15,0.15,1.0,0.71,1
2059,20130327:1907,0.611,0.15,0.15,1.0,0.57,1
2060,20130327:2007,0.412,0.15,0.15,0.1,0.29,1
2061,20130327:2107,0.292,0.15,0.15,0.1,0.14,1
2062,20130327:2207,0.183,0.15,0.15,0.1,0.14,1
2063,20130327:2307,0.125,0.15,0.15,0.1,0.14,1
2064,20130328:0007,0.066,0.15,0.15,0.1,0.14,1
2065,20130328:0107,0.0,0.15,0.15,0.1,0.14,0
2066,20130328:0207,0.0,0.15,0.15,0.1,0.14,0
2067,20130328:0307,0.058,0.15,0.15,0.1,0.29,1
2068,20130328:0407,0.199,0.15,0.15,0.85,0.43,1
2069,20130328:0507,0.305,0.15,0.15,0.85,0.57,1
2070,20130328:0607,0.335,0.46,0.46,0.5,0.71,1
2071,20130328:0707,0.305,0.92,0.92,0.1,0.86,1
2072,20130328:0807,0.256,0.92,0.92,0.1,1.0,1
2073,20130328:0907,0.262,1.0,1.0,0.1,1.0,1
2074,20130328:1007,0.302,1.0,1.0,0.1,1.0,1
2075,20130328:1107,0.325,1.0,1.0,1.0,0.86,1
2076,20130328:1207,0.421,1.0,1.0,1.0,0.71,1
2077,20130328:1307,0.316,1.0,1.0,1.0,0.71,1
2078,20130328:1407,0.255,1.0,1.0,0.5,0.0,0
2079,20130328:1507,0.242,1.0,1.0,1.0,0.86,1
2080,20130328:1607,0.249,0.85,0.85,1.0,1.0,1
2081,20130328:1707,0.401,0.31,0.31,0.5,1.0,1
2082,20130328:1807,0.75,0.15,0.15,1.0,0.71,1
2083,20130328:1907,0.611,0.15,0.15,1.0,0.57,1
2084,20130328:2007,0.412,0.15,0.15,0.1,0.29,1
2085,20130328:2107,0.292,0.15,0.15,0.1,0.14,1
2086,20130328:2207,0.0,0.15,0.15,0.1,0.14,0
2087,20130328:2307,0.125,0.15,0.15,0.1,0.14,1
2088,20130329:0007,0.066,0.15,0.15,0.1,0.14,1
2089,20130329:0107,0.058,0.15,0.15,0.1,0.14,1
2090,20130329:0207,0.058,0.15,0.15,0.1,0.14,1
2091,20130329:0307,0.058,0.15,0.15,0.1,0.29,1
2092,20130329:0407,0.199,0.15,0.15,0.85,0.43,1
2093,20130329:0507,0.305,0.15,0.15,0.85,0.57,1
2094,20130329:0607,0.335,0.46,0.46,0.5,0.71,1
2095,20130329:0707,0.305,0.92,0.92,0.1,0.86,1
2096,20130329:0807,0.256,0.92,0.92,0.1,1.0,1
2097,20130329:0907,0.262,1.0,1.0,0.1,1.0,1
2098,20130329:1007,0.302,1.0,1.0,0.1,1.0,1
2099,20130329:1107,0.325,1.0,1.0,1.0,0.86,1
2100,20130329:1207,0.421,1.0,1.0,1.0,0.71,1
2101,20130329:1307,0.316,1.0,1.0,1.0,0.71,1
2102,20130329:1407,0.255,1.0,1.0,0.5,0.86,1
2103,20130329:1507,0.242,1.0,1.0,1.0,0.86,1
2104,20130329:1607,0.249,0.85,0.85,1.0,1.0,1
2105,20130329:1707,0.401,0.31,0.31,0.5,1.0,1
2106,20130329:1807,0.75,0.15,0.15,1.0,0.71,1
2107,20130329:1907,0.611,0.15,0.15,1.0,0.57,1
2108,20130329:2007,0.412,0.15,0.15,0.1,0.29,1
2109,20130329:2107,0.292,0.15,0.15,0.1,0.14,1
2110,20130329:2207,0.183,0.15,0.15,0.1,0.14,1
2111,20130329:2307,0.125,0.15,0.15,0.1,0.14,1
2112,20130330:0007,0.066,0.15,0.15,0.1,0.14,1
2113,20130330:0107,0.058,0.15,0.15,0.1,0.14,1
2114,20130330:0207,0.058,0.15,0.15,0.1,0.14,1
2115,20130330:0307,0.058,0.15,0.15,0.1,0.29,1
2116,20130330:0407,0.199,0.15,0.15,0.85,0.43,1
2117,20130330:0507,0.305,0.15,0.15,0.85,0.57,1
2118,20130330:0607,0.335,0.46,0.46,0.5,0.71,1
2119,20130330:0707,0.305,0.92,0.92,0.1,0.86,1
2120,20130330:0807,0.256,0.92,0.92,0.1,1.0,1
2121,20130330:0907,0.262,1.0,1.0,0.1,1.0,1
2122,20130330:1007,0.302,1.0,1.0,0.1,1.0,1
2123,20130330:1107,0.325,1.0,1.0,0.0,0.86,0
2124,20130330:1207,0.421,1.0,1.0,1.0,0.71,1
2125,20130330:1307,0.316,1.0,1.0,1.0,0.71,1
2126,20130330:1407,0.255,1.0,1.0,0.5,0.86,1
2127,20130330:1507,0.242,1.0,1.0,1.0,0.86,1
2128,20130330:1607,0.249,0.85,0.85,1.0,1.0,1
2129,20130330:1707,0.401,0.31,0.31,0.5,1.0,1
2130,20130330:1807,0.75,0.15,0.15,1.0,0.71,1
2131,20130330:1907,0.611,0.15,0.15,1.0,0.57,1
2132,20130330:2007,0.412,0.15,0.15,0.1,0.29,1
2133,20130330:2107,0.292,0.15,0.15,0.1,0.14,1
2134,20130330:2207,0.183,0.15,0.15,0.1,0.14,1
2135,20130330:2307,0.125,0.15,0.15,0.1,0.14,1
2136,20130331:0007,0.066,0.15,0.15,0.1,0.14,1
2137,20130331:0107,0.058,0.15,0.15,0.1,0.14,1
2138,20130331:0207,0.058,0.15,0.15,0.1,0.14,1
2139,20130331:0307,0.058,0.15,0.15,0.1,0.29,1
2140,20130331:0407,0.199,0.15,0.15,0.85,0.43,1
2141,20130331:0507,0.305,0.15,0.15,0.85,0.57,1
2142,20130331:0607,0.335,0.46,0.46,0.5,0.71,1
2143,20130331:0707,0.305,0.92,0.92,0.1,0.86,1
2144,20130331:0807,0.256,0.92,0.92,0.1,1.0,1
2145,20130331:0907,0.262,1.0,1.0,0.1,1.0,1
2146,20130331:1007,0.302,1.0,1.0,0.1,1.0,1
2147,20130331:1107,0.325,1.0,1.0,1.0,0.86,1
2148,20130331:1207,0.421,1.0,1.0,1.0,0.71,1
2149,20130331:1307,0.316,1.0,1.0,1.0,0.71,1
2150,20130331:1407,0.255,1.0,1.0,0.5,0.86,1
2151,20130331:1507,0.242,1.0,1.0,1.0,0.86,1
2152,20130331:1607,0.249,0.85,0.85,1.0,1.0,1
2153,20130331:1707,0.401,0.31,0.31,0.5,1.0,1
2154,20130331:1807,0.75,0.15,0.15,1.0,0.71,1
2155,20130331:1907,0.611,0.15,0.15,1.0,0.57,1
2156,20130331:2007,0.412,0.15,0.15,0.1,0.29,1
2157,20130331:2107,0.292,0.15,0.15,0.1,0.14,1
2158,20130331:2207,0.183,0.15,0.15,0.1,0.14,1
2159,20130331:2307,0.125,0.15,0.15,0.1,0.14,1
2160,20130401:0007,0.074,0.15,0.15,0.1,0.0,0
2161,20130401:0107,0.064,0.15,0.15,0.1,0.14,1
2162,20130401:0207,0.064,0.15,0.15,0.1,0.14,1
2163,20130401:0307,0.064,0.15,0.15,0.1,0.29,1
2164,20130401:0407,0.221,0.15,0.15,0.85,0.43,1
2165,20130401:0507,0.339,0.15,0.15,0.85,0.57,1
2166,20130401:0607,0.372,0.46,0.46,0.5,0.71,1
2167,20130401:0707,0.339,0.92,0.92,0.1,0.86,1
2168,20130401:0807,0.284,0.92,0.92,0.1,1.0,1
2169,20130401:0907,0.291,1.0,1.0,0.1,1.0,1
2170,20130401:1007,0.335,1.0,1.0,0.1,1.0,1
2171,20130401:1107,0.361,1.0,1.0,1.0,0.86,1
2172,20130401:1207,0.468,1.0,1.0,1.0,0.71,1
2173,20130401:1307,0.351,1.0,1.0,1.0,0.71,1
2174,20130401:1407,0.283,1.0,1.0,0.5,0.86,1
2175,20130401:1507,0.269,1.0,1.0,1.0,0.86,1
2176,20130401:1607,0.277,0.85,0.85,1.0,1.0,1
2177,20130401:1707,0.445,0.31,0.31,0.5,1.0,1
2178,20130401:1807,0.833,0.15,0.15,1.0,0.71,1
2179,20130401:1907,0.679,0.15,0.15,1.0,0.57,1
2180,20130401:2007,0.458,0.15,0.15,0.1,0.29,1
2181,20130401:2107,0.325,0.15,0.15,0.1,0.14,1
2182,20130401:2207,0.203,0.15,0.15,0.1,0.14,1
2183,20130401:2307,0.138,0.15,0.15,0.1,0.14,1
2184,20130402:0007,0.074,0.15,0.15,0.1,0.14,1
2185,20130402:0107,0.064,0.15,0.15,0.1,0.14,1
2186,20130402:0207,0.064,0.15,0.15,0.1,0.14,1
2187,20130402:0307,0.064,0.15,0.15,0.1,0.29,1
