,Time,value,Class_name
245,20130111:0507,0,0
246,20130111:0607,0,1
247,20130111:0707,0,1
248,20130111:0807,0,1
249,20130111:0907,0,1
250,20130111:1007,0,1
251,20130111:1107,0,1
252,20130111:1207,0,1
253,20130111:1307,0,1
254,20130111:1407,0,1
255,20130111:1507,0,1
256,20130111:1607,0,1
257,20130111:1707,0,1
258,20130111:1807,0,2
259,20130111:1907,0,2
260,20130111:2007,0,0
261,20130111:2107,0,0
262,20130111:2207,0,0
263,20130111:2307,0,0
264,20130112:0007,0,0
265,20130112:0107,0,0
266,20130112:0207,0,0
267,20130112:0307,0,0
268,20130112:0407,0,0
269,20130112:0507,0,0
270,20130112:0607,0,1
271,20130112:0707,0,1
272,20130112:0807,0,1
273,20130112:0907,0,1
274,20130112:1007,0,1
275,20130112:1107,0,1
276,20130112:1207,0,1
277,20130112:1307,0,1
278,20130112:1407,0,1
279,20130112:1507,0,1
280,20130112:1607,0,1
281,20130112:1707,0,1
282,20130112:1807,0,2
283,20130112:1907,0,2
284,20130112:2007,0,0
285,20130112:2107,0,0
286,20130112:2207,0,0
287,20130112:2307,0,0
288,20130113:0007,0,0
289,20130113:0107,0,0
290,20130113:0207,0,0
291,20130113:0307,0,0
292,20130113:0407,0,0
293,20130113:0507,0,0
294,20130113:0607,0,1
295,20130113:0707,0,1
296,20130113:0807,0,1
297,20130113:0907,0,1
298,20130113:1007,0,1
299,20130113:1107,0,1
300,20130113:1207,0,1
301,20130113:1307,0,1
302,20130113:1407,0,1
303,20130113:1507,0,1
304,20130113:1607,0,1
305,20130113:1707,0,1
306,20130113:1807,0,2
307,20130113:1907,0,2
308,20130113:2007,0,0
309,20130113:2107,0,0
310,20130113:2207,0,0
311,20130113:2307,0,0
312,20130114:0007,0,0
313,20130114:0107,0,0
314,20130114:0207,0,0
315,20130114:0307,0,0
316,20130114:0407,0,0
317,20130114:0507,0,0
318,20130114:0607,0,1
319,20130114:0707,0,1
320,20130114:0807,0,1
321,20130114:0907,0,1
322,20130114:1007,0,1
323,20130114:1107,0,1
324,20130114:1207,0,1
325,20130114:1307,0,1
326,20130114:1407,0,1
327,20130114:1507,0,1
328,20130114:1607,0,1
329,20130114:1707,0,1
330,20130114:1807,0,2
331,20130114:1907,0,2
332,20130114:2007,0,0
333,20130114:2107,0,0
334,20130114:2207,0,0
335,20130114:2307,0,0
336,20130115:0007,0,0
337,20130115:0107,0,0
338,20130115:0207,0,0
339,20130115:0307,0,0
340,20130115:0407,0,0
341,20130115:0507,0,0
342,20130115:0607,0,1
343,20130115:0707,0,1
344,20130115:0807,0,1
345,20130115:0907,0,1
346,20130115:1007,0,1
347,20130115:1107,0,1
348,20130115:1207,0,1
349,20130115:1307,0,1
350,20130115:1407,0,1
351,20130130:0607,0,1
352,20130130:0707,0,1
353,20130130:0807,0,1
354,20130130:0907,0,1
355,20130130:1007,0,1
